time,mean_v,std_v,wavelength
0.005,-0.5019820628196395,0.00908166012962859,500.0052329224984
0.015,-0.5026444454954194,0.008780549201911715,500.0156987674953
0.025,-0.5022368253872471,0.009111209530799311,500.02616461249215
0.035,-0.5026444454954193,0.009358823330001743,500.036630457489
0.045,-0.5023896829278118,0.009142671429762451,500.0470963024859
0.055,-0.5023896829278118,0.008968923119421665,500.05756214748277
0.065,-0.502033015333161,0.009293588578225636,500.06802799247964
0.075,-0.501625395224989,0.009634954023745071,500.0784938374765
0.085,-0.5026444454954193,0.009470241817883206,500.0889596824734
0.095,-0.5038673058199359,0.00804229077828949,500.09942552747026
0.105,-0.5042749259281082,0.007916088126988114,500.1098913724671
0.115,-0.5041730209010652,0.007783125002020652,500.12035721746395
0.125,-0.5045806410092372,0.007704560294800642,500.1308230624608
0.135,-0.5036125432523284,0.008028420669942929,500.1412889074577
0.145,-0.5031539706306346,0.008209459737998834,500.15175475245456
0.155,-0.5033577806847207,0.008264219791101438,500.16222059745144
0.165,-0.5032049231441561,0.008467190445461339,500.1726864424483
0.175,-0.5023896829278117,0.0092283189340119,500.1831522874452
0.185,-0.5022877779007687,0.009377158750084266,500.19361813244205
0.195,-0.5018801577925965,0.009425136910946716,500.20408397743887
0.205,-0.5028482555495055,0.009135354364620893,500.21454982243574
0.215,-0.5039182583334574,0.009171309468355324,500.2250156674326
0.225,-0.5037654007928929,0.0087260241274138,500.2354815124295
0.235,-0.5037654007928929,0.008326181758733234,500.24594735742636
0.245,-0.5040201633605005,0.00836624229905176,500.25641320242323
0.255,-0.5036634957658499,0.008351968235254355,500.2668790474201
0.265,-0.5044277834686726,0.007945681701047248,500.277344892417
0.275,-0.5039692108469788,0.008270563708356419,500.28781073741385
0.285,-0.503969210846979,0.007947166736421669,500.2982765824107
0.295,-0.5035106382252853,0.007987814945515313,500.30874242740754
0.305,-0.5041220683875435,0.007982560451704522,500.3192082724044
0.315,-0.5026444454954194,0.008096885911799703,500.3296741174013
0.325,-0.5026444454954195,0.008476631369223052,500.34013996239815
0.335,-0.5018801577925965,0.009113943404522824,500.350605807395
0.345,-0.5021858728737256,0.00960483172764092,500.3610716523919
0.355,-0.5026953980089408,0.01014653206509445,500.3715374973888
0.365,-0.5026953980089409,0.009561047543522569,500.38200334238564
0.375,-0.5033068281711991,0.008930244842835292,500.3924691873825
0.385,-0.5033577806847207,0.008697125941374423,500.40293503237933
0.395,-0.5043258784416296,0.008208022158089865,500.4134008773762
0.405,-0.5044277834686726,0.008363734338625464,500.4238667223731
0.415,-0.5040711158740221,0.008460529037476683,500.43433256736995
0.425,-0.5023896829278118,0.008761863185410336,500.4447984123668
0.435,-0.5025425404683762,0.009563378620095368,500.4552642573637
0.445,-0.5018292052790752,0.009215380271269195,500.46573010236057
0.455,-0.501931110306118,0.009184024684372991,500.47619594735744
0.465,-0.5017782527655534,0.009968184074565569,500.4866617923543
0.475,-0.5016763477385104,0.009648417222689836,500.4971276373512
0.485,-0.5020839678466827,0.010472125478735774,500.507593482348
0.495,-0.5022368253872473,0.009505619916587429,500.5180593273449
0.505,-0.5026953980089409,0.009310925931600574,500.52852517234174
0.515,-0.5038163533064144,0.008546108696862622,500.5389910173386
0.525,-0.5040711158740221,0.008398309270947707,500.5494568623355
0.535,-0.5042239734145866,0.00836749599737656,500.55992270733236
0.545,-0.5036125432523284,0.008158029444698355,500.57038855232923
0.555,-0.5032049231441561,0.008279278657540993,500.5808543973261
0.565,-0.5025425404683763,0.008939783432097533,500.591320242323
0.575,-0.5023896829278117,0.009171309468355322,500.60178608731985
0.585,-0.5021349203602041,0.009174882937989584,500.61225193231667
0.595,-0.5028992080630269,0.009726378935623238,500.62271777731354
0.605,-0.5035615907388068,0.008683848800143763,500.6331836223104
0.615,-0.5039182583334574,0.008851196300788802,500.6436494673073
0.625,-0.504274925928108,0.008460529037476617,500.65411531230416
0.635,-0.5045296884957157,0.008233541700938539,500.66458115730103
0.645,-0.5047334985498018,0.008253900526164227,500.6750470022979
0.655,-0.5038163533064143,0.008233541700938547,500.6855128472948
0.665,-0.5036125432523283,0.008093484505271278,500.69597869229165
0.675,-0.504071115874022,0.008080026837392939,500.70644453728846
0.685,-0.5031030181171131,0.008266599330590199,500.71691038228533
0.695,-0.5025934929818979,0.009007435311519372,500.7273762272822
0.705,-0.5022877779007687,0.009321059662977312,500.7378420722791
0.715,-0.5016763477385104,0.009400620536823683,500.74830791727595
0.725,-0.5021349203602042,0.009203420745438198,500.7587737622728
0.735,-0.5016763477385104,0.00945624764168376,500.7692396072697
0.745,-0.5018801577925964,0.00942513691094679,500.77970545226657
0.755,-0.5022877779007687,0.009321059662977273,500.79017129726344
0.765,-0.5024406354413332,0.009869436359171578,500.8006371422603
0.775,-0.5025425404683763,0.008791890886155111,500.81110298725713
0.785,-0.5036634957658497,0.008780549201911667,500.821568832254
0.795,-0.5036125432523284,0.008596284971140756,500.8320346772509
0.805,-0.5034087331982422,0.007879397483999556,500.84250052224775
0.815,-0.5039182583334574,0.008076618330796367,500.8529663672446
0.825,-0.5037654007928929,0.007636183362958251,500.8634322122415
0.835,-0.5033577806847207,0.008264219791101448,500.87389805723836
0.845,-0.5029501605765485,0.008526601391312363,500.88436390223524
0.855,-0.5026953980089409,0.008638887798409618,500.8948297472321
0.865,-0.5022368253872472,0.009282294870592438,500.905295592229
0.875,-0.5019311103061181,0.009437510149871077,500.9157614372258
0.885,-0.5021858728737257,0.009299653278862145,500.92622728222267
0.895,-0.5017273002520319,0.009015728849702344,500.93669312721954
0.905,-0.5024915879548548,0.009499410654771155,500.9471589722164
0.915,-0.503103018117113,0.00914037651047558,500.9576248172133
0.925,-0.5035615907388068,0.009656160246352893,500.96809066221016
0.935,-0.504071115874022,0.00814467842683118,500.97855650720703
0.945,-0.5042239734145864,0.008398777634743181,500.9890223522039
0.955,-0.5040711158740219,0.008367025882518603,500.9994881972008
0.965,-0.5037144482793713,0.00835495054859174,501.0099540421976
0.975,-0.5027463505224624,0.008370159482824255,501.02041988719446
0.985,-0.5024915879548548,0.008900831223050826,501.03088573219134
0.995,-0.5018801577925965,0.009284978369998654,501.0413515771882
1.005,-0.5019820628196393,0.009421797525476755,501.0518174221851
1.015,-0.5018801577925965,0.009369325098778011,501.06228326718195
1.025,-0.5024406354413332,0.009816151031042634,501.0727491121788
1.035,-0.5037654007928929,0.008665710824202944,501.0832149571757
1.045,-0.5042749259281081,0.008583615646158909,501.09368080217257
1.055,-0.5042239734145866,0.007850055120705766,501.10414664716944
1.065,-0.5037654007928929,0.008167185575258704,501.11461249216626
1.075,-0.5037144482793713,0.008034950762258363,501.12507833716313
1.085,-0.5024915879548548,0.009275936117394398,501.13554418216
1.095,-0.5022877779007686,0.009236272179052152,501.1460100271569
1.105,-0.5020839678466826,0.00944514842996923,501.15647587215375
1.115,-0.5027463505224624,0.00943083895901632,501.1669417171506
1.125,-0.5030011130900699,0.00904114393324401,501.1774075621475
1.135,-0.5029501605765485,0.009542515836904212,501.18787340714437
1.145,-0.5034596857117637,0.00827373384290055,501.19833925214124
1.155,-0.5041730209010651,0.0084300987320476,501.20880509713805
1.165,-0.5037654007928929,0.008167185575258695,501.2192709421349
1.175,-0.5040201633605004,0.008014035737204859,501.2297367871318
1.185,-0.5040711158740219,0.008208820844676092,501.24020263212867
1.195,-0.5038163533064144,0.00742992416778958,501.25066847712554
1.205,-0.5027973030359838,0.008472144373084732,501.2611343221224
1.215,-0.5023387304142903,0.009303177450125396,501.2716001671193
1.225,-0.5017782527655535,0.009482832746227797,501.28206601211616
1.235,-0.5017782527655535,0.00934353971651976,501.29253185711303
1.245,-0.5017782527655534,0.009371563953040729,501.3029977021099
1.255,-0.501727300252032,0.009358262904639423,501.3134635471067
1.265,-0.5025425404683763,0.009285119585325788,501.3239293921036
1.275,-0.5037144482793713,0.008571845432091049,501.33439523710047
1.285,-0.5044277834686726,0.008363734338625448,501.34486108209734
1.295,-0.504376830955151,0.007980096216727916,501.3553269270942
1.305,-0.5034087331982423,0.008237362813431522,501.3657927720911
1.315,-0.5034087331982422,0.00867160982774245,501.37625861708796
1.325,-0.5026953980089409,0.008966583730873006,501.3867244620848
1.335,-0.5026953980089409,0.009450699665236451,501.3971903070817
1.345,-0.5022368253872472,0.009282294870592457,501.4076561520786
1.355,-0.5021858728737256,0.009013256136910574,501.4181219970754
1.365,-0.502033015333161,0.009236981957210164,501.42858784207226
1.375,-0.5026953980089409,0.009367085709400313,501.43905368706913
1.385,-0.5026953980089409,0.009751152012544286,501.449519532066
1.395,-0.5026444454954193,0.009358823330001764,501.4599853770629
1.405,-0.5025934929818978,0.009406198051056604,501.47045122205975
1.415,-0.5033068281711991,0.008900831223050838,501.4809170670566
1.425,-0.5038163533064144,0.008328543595151755,501.4913829120535
