time,mean_v,std_v,wavelength
0.005,-0.5304135653646479,0.002442523304628373,500.00547567175016
0.015,-0.5292926100671745,0.002535243460970254,500.01642701525054
0.025,-0.5300568977699974,0.0025274737722696962,500.0273783587509
0.035,-0.5300059452564758,0.002535243460970254,500.03832970225125
0.045,-0.5289868949860452,0.0024724023765039984,500.0492810457516
0.055,-0.5277640346615287,0.0017221830799437352,500.060232389252
0.065,-0.5282226072832225,0.002121322299701846,500.0711837327524
0.075,-0.5293945150942175,0.0025476256760761373,500.0821350762527
0.085,-0.5304645178781695,0.00242582485712211,500.0930864197531
0.095,-0.5292416575536528,0.0025274737722696962,500.1040377632535
0.105,-0.5278149871750503,0.001776892928775711,500.1149891067538
0.115,-0.5278149871750503,0.0017768929287757113,500.1259404502542
0.125,-0.5295473726347822,0.0025584109554635886,500.13689179375456
0.135,-0.5302607078240834,0.002485625288093789,500.1478431372549
0.145,-0.5293435625806958,0.0025419579812333967,500.15879448075526
0.155,-0.528273559796744,0.0021550497289954803,500.16974582425564
0.165,-0.5273054620398352,0.0010034913373614153,500.18069716775597
0.175,-0.5282226072832225,0.002121322299701846,500.19164851125635
0.185,-0.529649277661825,0.002560460143581834,500.2025998547567
0.195,-0.5288849899590022,0.0024425233046283727,500.2135511982571
0.205,-0.5276621296344857,0.0016022835039763486,500.22450254175743
0.215,-0.5275602246074427,0.0016346888772682904,500.2354538852578
0.225,-0.5288849899590023,0.0024425233046283727,500.2464052287582
0.235,-0.5302097553105618,0.002497728541968191,500.2573565722585
0.245,-0.5304645178781694,0.0024258248571221094,500.2683079157589
0.255,-0.5301588027970402,0.002508728343403539,500.2792592592593
0.265,-0.5284773698508302,0.002273480993145353,500.2902106027596
0.275,-0.5302097553105619,0.0024977285419681915,500.30116194626
0.285,-0.5302607078240833,0.002485625288093789,500.31211328976036
0.295,-0.5294454676077389,0.0025522535194473,500.3230646332607
0.305,-0.5274583195803996,0.001306587532714604,500.33401597676107
0.315,-0.5280697497426579,0.0020089416626706347,500.34496732026145
0.325,-0.5300059452564758,0.0025352434609702545,500.3559186637618
0.335,-0.5298021352023896,0.002555847159894811,500.36687000726215
0.345,-0.52847736985083,0.002273480993145353,500.37782135076253
