time,mean_v,std_v,wavelength
0.005,-0.4931163254668951,0.006639643929761369,570.0134763948498
0.015,-0.49479775841310536,0.005937618190437228,570.0404291845493
0.025,-0.4944920433319762,0.006271820858508605,570.067381974249
0.035,-0.4951034734942345,0.006233234995474965,570.0943347639485
0.045,-0.4950525209807129,0.006529725598889023,570.121287553648
0.055,-0.4952053785212776,0.005999131342441277,570.1482403433477
0.065,-0.49520537852127755,0.005684913492887317,570.1751931330472
0.075,-0.4939315656832395,0.006166191958525987,570.2021459227468
0.085,-0.49342204054802424,0.007091873742272445,570.2290987124463
0.095,-0.4927596578722444,0.0069319936651805305,570.256051502146
0.105,-0.49270870535872285,0.006960496815987634,570.2830042918455
0.115,-0.4929634679263305,0.007040101453128508,570.309957081545
0.125,-0.494084423223804,0.006734740307280598,570.3369098712446
0.135,-0.49515442600775594,0.00655217698419135,570.3638626609442
0.145,-0.4955620461159282,0.005779838245313939,570.3908154506438
0.155,-0.4952053785212776,0.005955258212043489,570.4177682403433
0.165,-0.4948996634401484,0.006308508238400201,570.444721030043
0.175,-0.4945429958454977,0.0062254470006450156,570.4716738197425
0.185,-0.49444109081845466,0.0064813536091381475,570.4986266094421
0.195,-0.4935239455750673,0.007099265347533009,570.5255793991416
0.205,-0.49367680311563183,0.006326772150973454,570.5525321888412
0.215,-0.4933201355209812,0.006663299288570691,570.5794849785408
0.225,-0.4929634679263305,0.006774340781810091,570.6064377682403
0.235,-0.4926577528452014,0.007100188757137149,570.63339055794
0.245,-0.4929634679263305,0.00726015753416132,570.6603433476395
0.255,-0.4927087053587229,0.007291694203072542,570.6872961373391
0.265,-0.4927596578722444,0.007191931007479899,570.7142489270386
0.275,-0.49321823049393815,0.0071463905843525315,570.7412017167381
0.285,-0.4943391857914116,0.006528118973878964,570.7681545064378
0.295,-0.495154426007756,0.005832231380219983,570.7951072961373
0.305,-0.4954091885753636,0.005447465456815221,570.8220600858369
0.315,-0.49459394835901926,0.005918153438281335,570.8490128755365
0.325,-0.49439013830493317,0.006237440673704985,570.8759656652361
0.335,-0.49362585060211034,0.00695597432042156,570.9029184549356
0.345,-0.4927596578722444,0.006817558705200426,570.9298712446351
0.355,-0.4928615628992874,0.006758062806867003,570.9568240343348
0.365,-0.49306537295337355,0.007237728372628782,570.9837768240343
0.375,-0.4939315656832395,0.006457031726082688,571.0107296137339
0.385,-0.49444109081845466,0.006233866028091247,571.0376824034335
0.395,-0.49484871092662686,0.006189962043887681,571.0646351931331
0.405,-0.49546014108888514,0.005940929684173328,571.0915879828326
0.415,-0.4947468058995838,0.006161086437502766,571.1185407725322
0.425,-0.49520537852127755,0.005544800442429268,571.1454935622318
0.435,-0.49484871092662686,0.0056587907015345825,571.1724463519313
0.445,-0.49479775841310536,0.005893287137384482,571.1993991416309
0.455,-0.4945429958454977,0.0060111403160375285,571.2263519313304
0.465,-0.4937277556291534,0.006998070621044322,571.2533047210301
0.475,-0.49388061316971793,0.006496912193958896,571.2802575107296
0.485,-0.4931163254668951,0.006795791159314388,571.3072103004292
0.495,-0.4931163254668951,0.006795791159314402,571.3341630901288
0.505,-0.49306537295337355,0.0068658537035432635,571.3611158798283
0.515,-0.49316727798041654,0.007066869996285587,571.3880686695279
0.525,-0.4935239455750673,0.006949939748493044,571.4150214592274
0.535,-0.4943391857914116,0.006447277282203591,571.4419742489271
0.545,-0.49500156846719146,0.005949971696831928,571.4689270386266
0.555,-0.49530728354832054,0.006020948024168234,571.4958798283262
0.565,-0.4953582360618421,0.005602904640780072,571.5228326180257
0.575,-0.49495061595366996,0.005404694090140213,571.5497854077253
0.585,-0.4945429958454977,0.005743426585984506,571.5767381974249
0.595,-0.4941863282508471,0.006289357439974104,571.6036909871244
0.605,-0.4927596578722444,0.00674018944209693,571.6306437768241
0.615,-0.49296346792633045,0.006889493631853038,571.6575965665236
0.625,-0.4925048953046368,0.006805046057084119,571.6845493562232
0.635,-0.49321823049393815,0.006652270589158031,571.7115021459227
0.645,-0.49326918300745964,0.007003502088842958,571.7384549356224
0.655,-0.49382966065619643,0.006963510181274491,571.7654077253219
0.665,-0.4942882332778901,0.00665010208826378,571.7923605150214
0.675,-0.49439013830493317,0.0056645804580077305,571.819313304721
0.685,-0.49530728354832054,0.00593319999041293,571.8462660944206
0.695,-0.4951034734942344,0.0055665133730701515,571.8732188841202
0.705,-0.49459394835901926,0.005457084862959754,571.9001716738197
0.715,-0.49326918300745964,0.006498526534198481,571.9271244635194
0.725,-0.49326918300745964,0.007509441550003753,571.9540772532189
0.735,-0.4927087053587229,0.0066127322265178085,571.9810300429184
0.745,-0.4927596578722444,0.007007245475763097,572.007982832618
0.755,-0.4927087053587229,0.006960496815987649,572.0349356223176
0.765,-0.49347299306154574,0.007242074921938165,572.0618884120172
0.775,-0.4943391857914116,0.006447277282203591,572.0888412017167
