time,mean_v,std_v,wavelength
0.005,3.1139140117485478,0.02708860345651746,500.0040938061775
0.015,3.1188564055601358,0.025340226091708606,500.01228141853244
0.025,3.1156973497218012,0.027565776440664602,500.0204690308874
0.035,3.114015916775591,0.02384276508765224,500.02865664324236
0.045,3.11799021283027,0.02558303327738729,500.0368442555973
0.055,3.1123344838293816,0.02752064701648223,500.0450318679523
0.065,3.1127930564510744,0.022609370514595026,500.05321948030723
0.075,3.1199773608576096,0.02843452953982879,500.0614070926622
0.085,3.1173787826680113,0.02660765331198348,500.06959470501715
0.095,3.1153916346406714,0.02416379913703613,500.0777823173721
0.105,3.109786858153305,0.026830690319962183,500.08596992972707
0.115,3.1160030648029307,0.025450510158163714,500.09415754208203
0.125,3.1122325788023373,0.026347819150921093,500.102345154437
0.135,3.1138121067215048,0.029685926760752778,500.11053276679195
0.145,3.1176335452356185,0.024504339327440016,500.1187203791469
0.155,3.1186525955060502,0.02694674773135958,500.12690799150187
0.165,3.1164106849111035,0.023982970603575977,500.1350956038568
0.175,3.1177864027761832,0.027590071913880874,500.1432832162118
0.185,3.1229326066418577,0.024003081379623,500.15147082856674
0.195,3.123594989317637,0.029995612999471042,500.1596584409217
0.205,3.124257371993417,0.02509543547665838,500.16784605327666
0.215,3.127161665264144,0.02459849398132115,500.1760336656316
0.225,3.122779749101294,0.023888475657325808,500.1842212779866
0.235,3.1267540451559706,0.027067297407436235,500.19240889034154
0.245,3.1229326066418577,0.026026368909713188,500.2005965026965
0.255,3.1229835591553785,0.026948450728819,500.20878411505146
0.265,3.1189073580736566,0.027234968346582927,500.2169717274064
0.275,3.123442131777072,0.02706269503595354,500.2251593397614
0.285,3.122524986533686,0.023866785040290658,500.23334695211634
0.295,3.1222702239660776,0.02552104530895517,500.2415345644713
0.305,3.115340682127151,0.025291903359472533,500.24972217682625
0.315,3.1155444921812365,0.024259275525246128,500.2579097891812
0.325,3.1124363888564237,0.024872073134716618,500.2660974015362
0.335,3.115748302235322,0.027864347946324898,500.27428501389113
0.345,3.112079721261773,0.027566109400020803,500.28247262624615
