time,mean_v,std_v,wavelength
0.005,-0.5193059174169561,0.002555847159894811,620.0094520547946
0.015,-0.5192040123899129,0.0025476256760761373,620.0283561643836
0.025,-0.51843972468709,0.002346700484376251,620.0472602739726
0.035,-0.517267816876095,0.001306587532714604,620.0661643835616
0.045,-0.5178282945248317,0.001967393328521956,620.0850684931506
0.055,-0.5175735319572241,0.0017221830799437348,620.1039726027398
0.065,-0.5182868671465256,0.002273480993145353,620.1228767123288
0.075,-0.5182359146330039,0.002246210998689127,620.1417808219178
0.085,-0.5183887721735685,0.0023236792985614524,620.1606849315068
0.095,-0.5177263894977888,0.0018773603875010005,620.1795890410959
0.105,-0.5189492498223055,0.0025087283434035387,620.198493150685
0.115,-0.5174206744166595,0.0015362760861491005,620.217397260274
0.125,-0.5178282945248318,0.001967393328521956,620.236301369863
0.135,-0.5177263894977887,0.0018773603875010005,620.255205479452
0.145,-0.5170640068220089,0.0008735635612225344,620.2741095890411
0.155,-0.5176244844707456,0.0017768929287757108,620.2930136986301
0.165,-0.5177773420113102,0.0019235856230732362,620.3119178082192
0.175,-0.5174206744166595,0.0015362760861491007,620.3308219178082
0.185,-0.5174206744166595,0.0015362760861491007,620.3497260273973
0.195,-0.5169621017949659,0.0005095251352152275,620.3686301369863
0.205,-0.5182868671465255,0.002273480993145353,620.3875342465753
0.215,-0.5175735319572241,0.0017221830799437352,620.4064383561644
0.225,-0.517267816876095,0.001306587532714604,620.4253424657534
0.235,-0.5170130543084874,0.0007169288402029135,620.4442465753425
0.245,-0.5170130543084873,0.0007169288402029137,620.4631506849315
0.255,-0.5172168643625735,0.0012161511858046767,620.4820547945205
0.265,-0.5171149593355304,0.0010034913373614153,620.5009589041096
0.275,-0.5171149593355304,0.0010034913373614155,620.5198630136987
0.285,-0.5171149593355304,0.0010034913373614153,620.5387671232877
0.295,-0.5169621017949659,0.0005095251352152274,620.5576712328767
0.305,-0.5172168643625734,0.0012161511858046767,620.5765753424657
0.315,-0.5168601967679228,0.0005095251352152273,620.5954794520547
0.325,-0.5170130543084874,0.0007169288402029135,620.6143835616439
0.335,-0.517165911849052,0.001116078701483686,620.6332876712329
0.345,-0.5170640068220089,0.0008735635612225344,620.6521917808219
0.355,-0.5170130543084873,0.0007169288402029136,620.6710958904109
0.365,-0.5169111492814443,1.1158161231197418e-16,620.69
0.375,-0.5169111492814443,1.1158161231197418e-16,620.7089041095891
0.385,-0.5169111492814443,1.1158161231197418e-16,620.7278082191781
0.395,-0.5170130543084873,0.0007169288402029137,620.7467123287671
0.405,-0.5166054342003151,0.0012161511858046767,620.7656164383561
0.415,-0.5168601967679228,0.000885489895575203,620.7845205479452
0.425,-0.5167582917408798,0.0008735635612225346,620.8034246575343
0.435,-0.5168092442544012,0.0007169288402029137,620.8223287671233
0.445,-0.5167582917408798,0.0008735635612225345,620.8412328767123
0.455,-0.5167582917408798,0.0008735635612225346,620.8601369863014
0.465,-0.5169111492814443,1.1158161231197418e-16,620.8790410958904
0.475,-0.5168092442544012,0.0007169288402029137,620.8979452054795
0.485,-0.5170130543084873,0.0007169288402029137,620.9168493150685
0.495,-0.5169621017949659,0.0008854898955752031,620.9357534246575
0.505,-0.5169111492814443,1.1158161231197418e-16,620.9546575342466
0.515,-0.5169111492814443,1.1158161231197418e-16,620.9735616438356
0.525,-0.5171149593355304,0.0010034913373614153,620.9924657534247
0.535,-0.5173697219031381,0.001465513982777024,621.0113698630137
0.545,-0.5171149593355304,0.0010034913373614155,621.0302739726027
0.555,-0.517267816876095,0.001306587532714604,621.0491780821918
0.565,-0.5180321045789179,0.0021213222997018455,621.0680821917808
0.575,-0.5179301995518749,0.0020483681148654675,621.0869863013698
0.585,-0.5180830570924394,0.00215504972899548,621.1058904109589
0.595,-0.5180830570924395,0.00215504972899548,621.124794520548
0.605,-0.5183378196600471,0.0022992875063455763,621.143698630137
0.615,-0.5184397246870901,0.002346700484376251,621.162602739726
0.625,-0.5180830570924394,0.00215504972899548,621.181506849315
0.635,-0.5181849621194824,0.00221742352971942,621.2004109589041
0.645,-0.5181340096059608,0.0021870586651384456,621.2193150684932
0.655,-0.5189492498223054,0.0025087283434035382,621.2382191780822
0.665,-0.5187963922817407,0.0024724023765039984,621.2571232876712
0.675,-0.5190002023358268,0.0025186391499602487,621.2760273972602
0.685,-0.5183887721735685,0.0023236792985614524,621.2949315068494
0.695,-0.5184397246870901,0.002346700484376251,621.3138356164384
0.705,-0.5182868671465255,0.002273480993145353,621.3327397260274
0.715,-0.5187963922817409,0.0024724023765039984,621.3516438356164
0.725,-0.5184906772006116,0.0023683910317476966,621.3705479452054
0.735,-0.5192040123899129,0.0025476256760761373,621.3894520547946
0.745,-0.5190511548493484,0.0025274737722696962,621.4083561643836
0.755,-0.5197644900386499,0.0025419579812333967,621.4272602739726
0.765,-0.520274015173865,0.00242582485712211,621.4461643835616
0.775,-0.5196116324980851,0.002555847159894811,621.4650684931507
0.785,-0.5202740151738651,0.0024258248571221094,621.4839726027398
0.795,-0.5207325877955588,0.0022174235297194194,621.5028767123288
0.805,-0.5208344928226016,0.00215504972899548,621.5217808219178
0.815,-0.5207325877955588,0.00221742352971942,621.5406849315068
0.825,-0.52144592298486,0.0016022835039763486,621.5595890410959
0.835,-0.5209873503631663,0.0020483681148654675,621.578493150685
0.845,-0.5209873503631662,0.0020483681148654675,621.597397260274
0.855,-0.5214968754983816,0.0015362760861491007,621.616301369863
0.865,-0.5216497330389461,0.001306587532714604,621.6352054794521
0.875,-0.521547828011903,0.001465513982777024,621.6541095890411
